BBLCOUNT        1.0         0
0x7fff87f5a329 155 2 5
0x7fff87f67044 420 4 7
0x7fff87f67034 420 4 14
0x7fff87f5b848 464 8 15
0x7fff87f5b825 0 4 12
0x7fff87f5b81c 0 3 9
0x7fff87f5b7fd 420 8 31
0x7fff87f629f9 516 3 7
0x7fff87f5b7d5 464 15 40
0x7fff8b0552dd 5 5 22
0x7fff8b0552f3 0 9 62
0x7fff8b055331 5 19 115
0x7fff88902b00 1 7 18
0x7fff88902b12 1 2 6
0x7fff88902b18 0 2 13
0x7fff88902b85 37 2 6
0x7fff8d975a16 2 13 55
0x7fff8d975a11 3 2 5
0x7fff8d975a08 0 2 9
0x7fff8d9759ee 3 12 26
0x7fff8d993daa 1 1 6
0x7fff8d975c10 1 12 38
0x7fff8e6004ef 10054 2 10
0x7fff8d9932be 10041 1 6
0x7fff8d975bf1 1 11 31
0x7fff8d993da4 1 1 6
0x7fff8d96f2d8 1 4 12
0x7fff8d96f2d5 0 5 15
0x7fff8d96f2d0 1 2 5
0x7fff8d96f2c3 1 3 13
0x7fff8d9247ad 3 7 12
0x7fff8d924791 3 1 2
0x7fff88902b8b 37 5 12
0x7fff87f75ab8 60 2 7
0x7fff87f5a475 60 2 4
0x7fff87f5a479 60 2 8
0x7fff87f5a48c 60 3 16
0x7fff87f5a49c 0 10 44
0x7fff87f5a4c8 0 5 17
0x7fff87f5a4bc 60 3 12
0x7fff87f5a4c8 0 5 17
0x7fff87f5a4d9 0 10 33
0x7fff87f5a53c 60 3 13
0x7fff87f5a549 4 3 10
0x7fff87f5a2ed 56 7 35
0x7fff87f5a310 0 6 20
0x7fff87f5a324 0 1 5
0x7fff87f6c84e 419 5 9
0x7fff87f5a553 4 2 8
0x7fff87f5a55b 4 5 27
0x7fff87f5a32e 155 4 13
0x7fff87f5a33b 0 1 2
0x7fff87f5a31b 155 3 9
0x7fff889026ad 0 2 8
0x7fff889026a5 1 2 8
0x7fff88902691 1 4 20
0x7fff87f5a324 97 1 5
0x7fff87f5a33d 60 4 13
0x7fff87f5a34a 0 3 12
0x7fff87f5a356 0 4 17
0x7fff87f5a386 60 2 8
0x7fff87f5b545 60 2 4
0x7fff87f5a38e 60 2 4
0x7fff87f5a392 0 3 11
0x7fff87f5a3b5 60 2 8
0x7fff87f5a461 60 3 15
0x7fff87f5a470 60 1 5
0x7fff8d96f329 1 2 10
0x7fff88904e92 1 9 22
0x7fff88904e84 1 8 14
0x7fff8d9931f2 1 1 6
0x7fff8d96f31e 1 3 11
0x7fff8d96f313 1 3 11
0x7fff8d96f313 0 3 11
0x7fff8d96f305 0 4 14
0x7fff8d96f2f5 1 5 16
0x7fff8d96f2e4 1 4 17
0x7fff8d975bdf 3 9 18
0x7fff8d975bd1 0 13 32
0x7fff8d975bcc 3 2 5
0x7fff8d975b98 3 5 15
0x7fff8d975b96 3 1 2
0x7fff8d975b91 3 2 5
0x7fff8d975b60 32 2 5
0x7fff8573ca9f 4 4 20
0x7fff8573ca93 4 3 12
0x7fff8573ca8a 4 2 9
0x7fff8573ca6e 3 3 13
0x7fff8573ca66 4 3 8
0x7fff8573ca61 4 2 5
0x7fff8573ca93 0 3 12
0x7fff8573ca83 0 3 16
0x7fff8573ca7b 4 3 8
0x7fff857455b0 42 1 6
0x7fff8573ca6e 1 3 13
0x7fff8573ca66 1 3 8
0x7fff8573ca27 1 18 63
0x7fff8323bc8a 1 1 6
0x7fff8323ba8c 1 2 8
0x7fff8d96f39a 1 8 15
0x7fff8d96f333 0 1 5
0x7fff8d975b0b 3 7 22
0x7fff8d975adb 3 3 12
0x7fff8d975ad1 2 4 10
0x7fff8d975ac7 2 4 10
0x7fff8d975ab9 3 5 14
0x7fff8d975aad 3 4 12
0x7fff8d975aa9 3 2 4
0x7fff8d975aa0 3 2 9
0x7fff8d975aa9 0 2 4
0x7fff8d975a93 0 5 22
0x7fff8d975a8f 3 2 4
0x7fff8d975a86 0 3 9
0x7fff8d975a7f 3 3 7
0x7fff8d975a79 3 2 6
0x7fff8d975a4d 1 2 7
0x7fff8d975a20 1 11 45
0x7fff8d975a4d 2 2 7
0x7fff8d975b5b 32 2 5
0x7fff8d975b53 32 3 8
0x7fff8d975b3f 0 2 5
0x7fff8d975b35 17 4 10
0x7fff8d975b21 48 7 20
0x7fff8d975b7f 48 5 18
0x7fff8d975b7f 0 5 18
0x7fff8d975b72 0 4 13
0x7fff8d975b70 48 1 2
0x7fff8d975b65 0 3 11
0x7fff8d975b60 16 2 5
0x7fff8d975b5b 16 2 5
0x7fff8d975b4e 16 5 13
0x7fff8d975b44 19 4 10
0x7fff8d975b3f 0 2 5
0x7fff8d975b35 2 4 10
0x7fff8d975b28 3 5 13
0x7fff8d91de0c 1 5 29
0x7fff8d91ddfe 1 4 14
0x7fff8d922d9c 1 1 5
0x7fff8d9927e9 1 4 13
0x7fff8b0563f5 1 4 7
0x7fff8e5ff329 14 10 30
0x7fff8e5ff319 14 6 16
0x7fff8e5ff30f 14 3 10
0x7fff8b057666 12 1 6
0x7fff8b0551e0 8 6 23
0x7fff8b0563ec 1 2 9
0x7fff8d99281e 37 2 2
0x7fff8d992803 0 1 5
0x7fff8d9927f6 37 4 13
0x7fff87f5a6af 4 3 10
0x7fff87f5a6b9 3 3 11
0x7fff87f5a6c4 18 2 6
0x7fff88902e54 0 2 9
0x7fff88902e40 1028 6 20
0x7fff8d993294 3 1 6
0x7fff8d96f276 1 4 20
0x7fff8d96f26a 1 3 12
0x7fff8d96f260 1 2 6
0x7fff8d96f257 1 2 9
0x7fff8d96f235 1 11 34
0x7fff8d922da1 1 7 16
0x7fff8e600631 7 5 7
0x7fff8e600625 1 2 12
0x7fff8e60061f 6 3 18
0x7fff8e600610 7 4 15
0x7fff8e6005ff 7 4 17
0x7fff8e6005f3 7 2 12
0x7fff8e6005d7 7 10 28
0x7fff8d9932ca 1 1 6
0x7fff8d992e02 1 1 6
0x7fff8d9927dd 1 2 12
0x7fff8d9927d9 0 2 4
0x7fff8d9927d2 1 2 7
0x7fff8b055caf 1 8 15
0x7fff8b055c4d 0 4 19
0x7fff8b055c46 1 2 7
0x7fff8b055c3f 1 2 7
0x7fff8b055c3d 1 1 2
0x7fff8b055c35 1 3 8
0x7fff8b055c30 8 2 5
0x7fff8b055c2b 8 2 5
0x7fff8b055c21 9 3 10
0x7fff8b055c18 9 3 9
0x7fff8b055c87 0 1 2
0x7fff8b055c82 9 2 5
0x7fff8b055c79 9 3 9
0x7fff8b0563e0 1 3 12
0x7fff87f5a6ca 0 4 13
0x7fff87f5a6d7 0 2 7
0x7fff87f5a6ce 18 3 9
0x7fff87f5a6d7 3 2 7
0x7fff87f5a6bb 15 2 9
0x7fff87f5a6de 4 2 4
0x7fff87f5a6e2 4 3 16
0x7fff8b0553a4 8 5 14
0x7fff8b0563cd 1 3 19
0x7fff8b0563c1 1 3 12
0x7fff8b0551c0 7 3 8
0x7fff8e5ff085 0 4 14
0x7fff8e5ff00b 1 29 122
0x7fff8b057660 12 1 6
0x7fff8b0551b0 8 4 16
0x7fff8b0563af 1 7 18
0x7fff87f5b8af 4 11 44
0x7fff87f5b8db 4 7 18
0x7fff87f5a679 4 3 10
0x7fff87f5a683 2 3 12
0x7fff87f5a68f 12 2 7
0x7fff87f5a696 0 4 14
0x7fff87f5a6a4 0 3 11
0x7fff87f5a69b 12 3 9
0x7fff87f5a6a4 2 3 11
0x7fff8b0569a3 1 7 19
0x7fff87f5b8ed 4 11 44
0x7fff87f5b919 4 7 18
0x7fff8b056990 1 3 19
0x7fff8b056977 5 9 25
0x7fff8b05528e 5 11 79
0x7fff8b055250 0 9 62
0x7fff8b055210 5 14 64
0x7fff87f5a576 1 1 2
0x7fff87f5a27d 3 6 28
0x7fff87f5a299 3 2 8
0x7fff87f5a586 1 4 13
0x7fff87f5a593 0 3 10
0x7fff87f5a59d 0 9 44
0x7fff87f5a5d2 1 2 4
0x7fff87f5a5d6 0 3 10
0x7fff87f5a5e0 0 10 47
0x7fff87f5a60f 1 3 21
0x7fff87f5a624 1 2 7
0x7fff87f5a62b 1 2 8
0x7fff87f5a633 1 2 13
0x7fff87f5a640 1 7 30
0x7fff87f5a65e 1 2 8
0x7fff87f5a666 4 2 8
0x7fff87f5a66e 4 3 11
0x7fff88902acc 0 3 12
0x7fff88902ac0 8 3 12
0x7fff88902a69 8 3 18
0x7fff88902a34 8 14 53
0x7fff88902a20 8 5 20
0x7fff8d993288 3 1 6
0x7fff8d96f276 2 4 20
0x7fff8d96f266 2 4 16
0x7fff8d96f28e 1 3 13
