Clock frequency is approx. 2400.2 MHz
Memory mountain (MB/sec)
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	
16M	6099.9	4492.6	3000.0	3052.6	2416.2	2003.2	1633.9	1715.5	1566.3	1262.1	1367.4	1286.0	1123.6	866.1	1039.9	748.7	725.3	936.7	720.7	761.2	795.3	693.0	568.9	769.7	834.3	809.5	884.8	1121.3	1274.6	1349.4	1468.7	626.3	1588.3	1445.7	1545.3	1549.6	1474.0	1715.7	742.3	775.9	818.1	1553.3	1486.3	1607.6	898.6	1656.3	1669.0	1720.1	1651.7	1640.2	1623.1	1634.6	1630.5	1330.3	1340.5	1627.7	1643.6	1789.1	1780.7	1647.9	1707.1	1706.2	1774.0	454.1	
8M	7179.9	6335.0	5827.3	5227.6	4665.4	3982.7	3528.3	3256.6	2872.7	2889.0	2663.6	2369.4	2118.0	1969.6	2018.2	1807.3	1899.0	1888.5	1818.5	1745.5	1738.1	1721.5	1789.7	1786.2	1777.6	1772.0	1769.5	1698.1	1703.9	1705.2	1706.6	1756.3	1716.4	854.4	1710.0	1721.9	1717.4	1711.4	1715.2	1718.5	1709.3	1704.4	1703.0	1703.6	1700.7	1696.9	1695.7	1685.0	1690.5	1686.5	1687.4	1681.9	1672.2	1667.3	1675.0	1676.3	1675.8	1678.1	1676.5	1665.1	1660.2	1665.5	1663.3	1657.9	
4M	6729.5	6429.4	5985.0	5066.1	4561.9	3959.7	3442.9	3154.3	2947.3	2791.8	2487.5	2390.3	2220.9	2091.6	1884.9	1776.8	1765.1	1757.8	1757.2	1741.8	1737.7	1732.0	1715.6	1713.4	1710.3	1702.7	1765.0	1698.0	1703.0	1702.1	1760.8	1790.3	1704.5	1778.5	1777.3	1784.6	1776.4	1713.0	1710.6	1709.0	1707.6	1704.0	1706.4	1697.6	1697.1	1693.8	1686.2	1750.0	1751.0	1744.6	1683.5	1679.5	1677.8	1673.3	1668.3	1669.8	1658.3	1666.5	1662.0	1664.8	1661.0	1662.6	1658.5	1692.6	
2M	6801.1	6569.1	5911.8	5089.9	4549.1	4048.4	3728.3	3462.0	3109.8	2815.8	2567.6	2375.9	2190.6	2043.8	1913.6	1797.7	1797.4	1789.1	1786.1	1781.8	1774.9	1773.5	1770.2	1772.0	1765.9	1766.8	1828.0	1760.9	1761.6	1758.1	1759.7	1826.6	1750.4	1757.7	1819.9	1743.5	1748.4	1745.4	1742.9	1744.4	1742.1	1809.7	1808.4	1808.5	1802.3	1735.6	1728.5	1724.9	1732.7	1733.9	1735.2	1803.6	1728.4	1733.5	1732.6	1733.5	1733.7	1802.5	1800.3	1797.7	1740.8	1734.0	1725.2	1743.3	
1M	6811.5	6578.9	5913.2	5096.6	4564.8	4200.3	3907.2	3485.6	3129.3	2826.2	2579.1	2377.9	2205.8	2055.4	1914.5	1802.5	1797.6	1795.8	1861.8	1789.2	1857.9	1856.3	1778.4	1780.6	1848.8	1773.5	1844.9	1774.4	1775.3	1767.3	1838.4	1772.6	1836.9	1837.8	1833.2	1835.4	1834.3	1836.1	1756.0	1756.8	1836.5	1829.5	1818.6	1833.7	1820.0	1835.2	1832.1	1823.3	1834.6	1835.7	1849.1	1859.9	1839.1	1833.8	1877.8	1877.5	1879.7	1883.8	1843.7	1839.0	1862.2	1881.1	1878.5	1810.6	
512K	7065.5	6585.1	5937.5	5108.3	4545.4	4089.4	3769.1	3486.1	3121.3	2836.5	2590.6	2382.8	2212.8	2056.0	1994.6	1805.0	1800.3	1798.0	1795.6	1795.5	1792.1	1808.5	1802.7	1821.9	1830.1	1858.6	1880.4	1873.5	1952.7	2004.3	2090.7	1785.4	2193.0	2264.1	2345.3	2300.9	2403.8	2534.7	2565.7	2670.4	2731.1	2488.1	2994.9	2871.4	3082.3	2975.0	3201.2	3200.9	3221.7	2970.5	3350.2	3475.4	3447.0	3461.7	3209.7	3583.9	3574.1	3492.0	3859.7	4086.0	3873.7	4031.9	3826.6	1762.8	
256K	6828.2	6603.8	6263.4	5870.3	5587.6	5370.3	5196.3	4964.4	4865.1	4752.6	4623.3	4412.4	4254.4	3923.7	3717.7	3594.3	3650.1	3721.3	3839.5	3889.7	3958.5	4063.5	4159.9	4417.8	4284.4	4444.3	4548.0	4498.7	4624.0	4626.8	4744.4	3537.1	4595.1	4415.6	4797.3	4705.5	4989.2	4858.2	4875.2	4899.9	4591.5	4914.7	3529.1	3607.9	3624.0	3746.0	3791.0	3832.7	4533.5	4798.6	4589.7	4662.6	4688.6	4848.4	4778.4	4746.7	4687.3	4814.3	4677.3	4593.4	4801.6	4456.8	4728.9	3539.0	
128K	6815.8	6649.8	6478.0	6351.0	6255.1	6085.5	6013.9	5823.4	5811.2	5714.8	5644.1	5544.7	5406.4	5208.9	5018.7	5084.7	5072.9	5078.8	5058.6	5046.1	5023.4	5054.1	4902.0	4999.1	4905.3	4985.4	4934.7	4980.3	4932.5	4958.2	4691.7	5096.6	4713.8	4927.0	4886.6	4961.3	4668.7	4741.4	4870.0	5021.2	5073.5	4772.9	4848.2	4774.8	4764.5	4808.9	4666.6	4843.0	4918.2	5242.5	5258.8	4881.8	4885.4	5644.7	4965.1	4952.9	5820.8	5315.8	5826.1	6067.3	6009.0	6150.4	6163.6	5010.9	
64K	6832.7	6627.1	6480.4	6357.2	6249.5	6106.5	6089.7	5774.7	5807.9	5674.1	5607.1	5573.0	5413.7	5187.2	4965.3	5041.7	5048.0	4927.7	4927.6	4945.4	4894.6	4892.5	4798.8	4908.3	5577.1	4823.4	5454.5	4926.8	5300.2	5844.0	5473.7	4749.4	5401.9	6216.7	6113.2	6249.5	6055.3	6076.4	6222.8	6095.5	5534.7	6000.6	6158.2	6078.1	6067.3	6092.6	6028.7	6000.6	6043.5	5989.2	6012.3	6036.5	5817.0	5846.4	5810.3	5778.3	5892.9	5827.7	5766.8	5747.9	5616.2	5792.3	5660.4	4847.8	
32K	6813.1	6799.0	6727.1	6715.4	6670.4	6630.1	6640.4	6541.2	6500.6	6503.9	6509.9	6481.3	6441.5	6324.9	6400.6	6400.6	6344.6	6249.5	6185.4	6095.5	6000.6	6016.7	5965.0	5935.4	5955.1	5895.3	5846.4	5814.2	5717.0	5747.9	5792.3	5769.6	5923.0	5665.3	5466.2	5515.7	5488.9	5653.0	5508.7	5460.5	5463.8	5426.6	5443.4	5267.8	5393.1	5425.3	5362.1	5349.5	5344.5	5696.2	5136.5	5091.4	5045.4	5103.7	5064.3	4926.8	5218.7	5070.2	4989.2	4908.3	4995.8	4912.1	4952.9	4763.3	
16K	6756.9	6708.5	6600.0	6528.1	6424.2	6481.3	6324.9	6326.5	6196.3	6124.0	6140.8	6067.3	5895.3	5778.3	5747.9	5689.4	5665.3	5515.7	5430.4	5506.4	5288.6	5314.8	5374.1	5196.7	5137.8	5040.5	5050.5	5087.5	5013.8	5021.2	4800.5	4876.7	4724.3	4810.5	4739.7	4608.0	4844.3	4659.9	4541.0	4482.6	4626.5	4457.6	4482.8	4442.2	4346.7	4251.2	4283.5	4262.9	4175.4	4152.8	4280.4	4200.4	4190.2	4179.7	4096.9	4098.6	4028.5	4029.0	3957.5	3971.3	3898.6	3840.4	3782.2	3793.0	
8K	6701.7	6567.4	6368.0	6160.0	6095.5	6000.6	5778.3	5689.4	5688.1	5460.5	5563.2	5246.7	5040.5	5143.4	5079.6	4935.4	4693.1	4608.0	4659.9	4608.9	4522.2	4313.5	4251.2	4133.7	4087.9	4200.4	4179.7	4098.6	4029.0	3900.4	3911.5	3793.0	3743.8	3555.9	3600.3	3561.1	3467.0	3440.3	3360.3	3330.9	3317.0	3184.0	3167.0	3382.1	3309.4	3236.7	3163.9	3163.1	3107.3	3726.1	3047.9	2791.4	2933.6	2946.6	2819.3	2849.1	2860.3	2820.3	2760.3	2720.3	3063.2	3017.4	2971.7	3012.1	
4K	6580.6	6254.0	5967.8	5689.4	5415.4	5297.6	5032.7	4876.7	4667.1	4608.9	4313.5	4197.3	4200.4	4028.0	3971.3	3793.0	3623.0	3561.1	3440.3	3330.9	3250.3	3382.1	3236.7	2956.8	3105.1	2990.8	2946.6	2849.1	2820.3	2720.3	2708.0	3012.1	2917.9	2909.4	2925.3	2825.3	3143.2	3170.7	2800.3	3138.8	3046.4	2984.9	3040.3	3235.1	3033.6	2967.0	3026.4	3238.4	3689.2	4050.4	2909.4	3467.0	2933.6	2857.4	3700.4	3893.7	2840.3	2800.3	2760.3	2863.4	3573.7	2779.2	2737.1	2844.7	
2K	6254.0	5689.4	5349.5	4876.7	4544.9	4197.3	4098.6	3793.0	3561.1	3330.9	3100.3	3163.1	2990.8	2849.1	2720.3	3012.1	2909.4	2916.4	2853.6	3138.8	3104.3	2976.3	3747.7	4000.4	2817.7	3284.5	2857.4	2920.3	3733.7	3627.0	3520.3	3657.5	3543.2	2666.9	2578.0	2635.6	3143.2	2494.4	2447.3	5100.5	2450.2	2400.2	2350.2	3345.8	2400.2	2346.9	2866.9	2400.2	3280.3	3555.9	2666.9	2836.6	2763.9	2691.2	2114.5	2400.2	2545.7	3500.3	3400.3	2720.3	2640.3	2640.3	2560.2	2560.2	
1K	5650.2	4935.4	4197.3	3793.0	3330.9	3163.1	2920.3	3103.3	3228.9	3138.8	2976.3	3091.2	3467.0	3893.7	2720.3	3012.1	2526.6	3200.3	4240.4	3400.3	2400.2	2300.2	2200.2	2800.3	2285.9	3467.0	2960.3	2618.4	3500.3	2473.0	2640.3	2844.7	3100.3	3000.3	2900.3	2489.1	2400.2	2600.3	2311.3	2500.2	2133.5	2400.2	2300.2	2300.2	2200.2	2200.2	2100.2	2100.2	2285.9	2000.2	2000.2	2171.6	2171.6	1800.2	1800.2	2057.3	1700.2	1943.0	1943.0	1700.2	1828.7	1828.7	1828.7	1828.7	
